,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
40387,2019-01-16,Vietnam,Yemen,2,0,AFC Asian Cup,Al Ain,United Arab Emirates,True
40388,2019-01-17,Lebanon,North Korea,4,1,AFC Asian Cup,Sharjah,United Arab Emirates,True
40389,2019-01-17,Saudi Arabia,Qatar,0,2,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40390,2019-01-17,Japan,Uzbekistan,2,1,AFC Asian Cup,Al Ain,United Arab Emirates,True
40391,2019-01-17,Oman,Turkmenistan,3,1,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40392,2019-01-20,Iran,Oman,2,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40393,2019-01-20,Jordan,Vietnam,1,1,AFC Asian Cup,Dubai,United Arab Emirates,True
40394,2019-01-20,Thailand,China PR,1,2,AFC Asian Cup,Al Ain,United Arab Emirates,True
40395,2019-01-21,Australia,Uzbekistan,0,0,AFC Asian Cup,Al Ain,United Arab Emirates,True
40396,2019-01-21,Japan,Saudi Arabia,1,0,AFC Asian Cup,Sharjah,United Arab Emirates,True
40397,2019-01-21,United Arab Emirates,Kyrgyzstan,3,2,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False
40398,2019-01-22,South Korea,Bahrain,2,1,AFC Asian Cup,Dubai,United Arab Emirates,True
40399,2019-01-22,Qatar,Iraq,1,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40400,2019-01-24,China PR,Iran,0,3,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40401,2019-01-24,Vietnam,Japan,0,1,AFC Asian Cup,Dubai,United Arab Emirates,True
40402,2019-01-25,South Korea,Qatar,0,1,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40403,2019-01-25,United Arab Emirates,Australia,1,0,AFC Asian Cup,Al Ain,United Arab Emirates,False
40405,2019-01-28,Iran,Japan,0,3,AFC Asian Cup,Al Ain,United Arab Emirates,True
40406,2019-01-29,Qatar,United Arab Emirates,4,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40407,2019-02-01,Japan,Qatar,1,3,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
40426,2019-03-21,Northern Ireland,Estonia,2,0,UEFA Euro qualification,Belfast,Northern Ireland,False
