,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
29,1884-01-26,Northern Ireland,Scotland,0,5,British Championship,Belfast,Republic of Ireland,False
30,1884-02-09,Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,False
31,1884-02-23,Northern Ireland,England,1,8,British Championship,Belfast,Republic of Ireland,False
32,1884-03-15,Scotland,England,1,0,British Championship,Glasgow,Scotland,False
33,1884-03-17,Wales,England,0,4,British Championship,Wrexham,Wales,False
34,1884-03-29,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False
35,1885-02-28,England,Northern Ireland,4,0,British Championship,Manchester,England,False
36,1885-03-14,England,Wales,1,1,British Championship,Blackburn,England,False
37,1885-03-14,Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,False
38,1885-03-21,England,Scotland,1,1,British Championship,London,England,False
39,1885-03-23,Wales,Scotland,1,8,British Championship,Wrexham,Wales,False
40,1885-04-11,Northern Ireland,Wales,2,8,British Championship,Belfast,Republic of Ireland,False
42,1886-02-27,Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,False
43,1886-03-13,Northern Ireland,England,1,6,British Championship,Belfast,Republic of Ireland,False
44,1886-03-20,Northern Ireland,Scotland,2,7,British Championship,Belfast,Republic of Ireland,False
45,1886-03-27,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
46,1886-03-29,Wales,England,1,3,British Championship,Wrexham,Wales,False
47,1886-04-10,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False
49,1887-02-05,England,Northern Ireland,7,0,British Championship,Sheffield,England,False
50,1887-02-19,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,False
51,1887-02-26,England,Wales,4,0,British Championship,London,England,False
52,1887-03-12,Northern Ireland,Wales,4,1,British Championship,Belfast,Republic of Ireland,False
53,1887-03-19,England,Scotland,2,3,British Championship,Blackburn,England,False
54,1887-03-21,Wales,Scotland,0,2,British Championship,Wrexham,Wales,False
55,1888-02-04,England,Wales,5,1,British Championship,Crewe,England,False
56,1888-03-03,Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,False
57,1888-03-10,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,False
58,1888-03-17,Scotland,England,0,5,British Championship,Glasgow,Scotland,False
59,1888-03-24,Northern Ireland,Scotland,2,10,British Championship,Belfast,Republic of Ireland,False
60,1888-04-07,Northern Ireland,England,1,5,British Championship,Belfast,Republic of Ireland,False
62,1889-02-23,England,Wales,4,1,British Championship,Stoke-on-Trent,England,False
63,1889-03-02,England,Northern Ireland,6,1,British Championship,Liverpool,England,False
64,1889-03-09,Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,False
65,1889-04-13,England,Scotland,2,3,British Championship,London,England,False
66,1889-04-15,Wales,Scotland,0,0,British Championship,Wrexham,Wales,False
67,1889-04-27,Northern Ireland,Wales,1,3,British Championship,Belfast,Republic of Ireland,False
68,1890-02-08,Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,True
69,1890-03-15,Northern Ireland,England,1,9,British Championship,Belfast,Republic of Ireland,False
70,1890-03-15,Wales,England,1,3,British Championship,Wrexham,Wales,False
71,1890-03-22,Scotland,Wales,5,0,British Championship,Paisley,Scotland,False
72,1890-03-29,Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,False
73,1890-04-05,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
74,1891-02-07,Northern Ireland,Wales,7,2,British Championship,Belfast,Republic of Ireland,False
75,1891-03-07,England,Wales,4,1,British Championship,Sunderland,England,False
76,1891-03-07,England,Northern Ireland,6,1,British Championship,Wolverhampton,England,False
77,1891-03-21,Wales,Scotland,3,4,British Championship,Wrexham,Wales,False
78,1891-03-28,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,False
79,1892-02-27,Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,False
80,1892-03-05,Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False
81,1892-03-05,Wales,England,0,2,British Championship,Wrexham,Wales,False
82,1892-03-19,Northern Ireland,Scotland,2,3,British Championship,Belfast,Republic of Ireland,False
83,1892-03-26,Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,False
84,1892-04-02,Scotland,England,1,4,British Championship,Glasgow,Scotland,False
85,1893-02-25,England,Northern Ireland,6,1,British Championship,Birmingham,England,False
86,1893-03-13,England,Wales,6,0,British Championship,Stoke-on-Trent,England,False
87,1893-03-18,Wales,Scotland,0,8,British Championship,Wrexham,Wales,False
88,1893-03-25,Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,False
89,1893-04-01,England,Scotland,5,2,British Championship,Richmond,England,False
90,1894-02-24,Wales,Northern Ireland,4,1,British Championship,Swansea,Wales,False
91,1894-03-03,Northern Ireland,England,2,2,British Championship,Belfast,Republic of Ireland,False
92,1894-03-12,Wales,England,1,5,British Championship,Wrexham,Wales,False
93,1894-03-24,Scotland,Wales,5,2,British Championship,Kilmarnock,Scotland,False
94,1894-03-31,Northern Ireland,Scotland,1,2,British Championship,Belfast,Republic of Ireland,False
95,1894-04-07,Scotland,England,2,2,British Championship,Glasgow,Scotland,False
96,1895-03-09,England,Northern Ireland,9,0,British Championship,Derby,England,False
97,1895-03-16,Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,False
98,1895-03-18,England,Wales,1,1,British Championship,London,England,False
99,1895-03-23,Wales,Scotland,2,2,British Championship,Wrexham,Wales,False
100,1895-03-30,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False
101,1895-04-06,England,Scotland,3,0,British Championship,Liverpool,England,False
102,1896-02-29,Wales,Northern Ireland,6,1,British Championship,Wrexham,Wales,False
103,1896-03-07,Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False
104,1896-03-16,Wales,England,1,9,British Championship,Cardiff,Wales,False
105,1896-03-21,Scotland,Wales,4,0,British Championship,Dundee,Scotland,False
106,1896-03-28,Northern Ireland,Scotland,3,3,British Championship,Belfast,Republic of Ireland,False
107,1896-04-04,Scotland,England,2,1,British Championship,Glasgow,Scotland,False
108,1897-02-20,England,Northern Ireland,6,0,British Championship,Nottingham,England,False
109,1897-03-06,Northern Ireland,Wales,4,3,British Championship,Belfast,Republic of Ireland,False
110,1897-03-20,Wales,Scotland,2,2,British Championship,Wrexham,Wales,False
111,1897-03-27,Scotland,Northern Ireland,5,1,British Championship,Glasgow,Scotland,False
112,1897-03-29,England,Wales,4,0,British Championship,Sheffield,England,False
113,1897-04-03,England,Scotland,1,2,British Championship,London,England,False
114,1898-02-19,Wales,Northern Ireland,0,1,British Championship,Llandudno,Wales,False
115,1898-03-05,Northern Ireland,England,2,3,British Championship,Belfast,Republic of Ireland,False
116,1898-03-19,Scotland,Wales,5,2,British Championship,Motherwell,Scotland,False
117,1898-03-26,Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,False
118,1898-03-28,Wales,England,0,3,British Championship,Wrexham,Wales,False
119,1898-04-02,Scotland,England,1,3,British Championship,Glasgow,Scotland,False
120,1899-02-18,England,Northern Ireland,13,2,British Championship,Sunderland,England,False
121,1899-03-04,Northern Ireland,Wales,1,0,British Championship,Belfast,Republic of Ireland,False
122,1899-03-18,Wales,Scotland,0,6,British Championship,Wrexham,Wales,False
123,1899-03-20,England,Wales,4,0,British Championship,Bristol,England,False
124,1899-03-25,Scotland,Northern Ireland,9,1,British Championship,Glasgow,Scotland,False
125,1899-04-08,England,Scotland,2,1,British Championship,Birmingham,England,False
126,1900-02-03,Scotland,Wales,5,2,British Championship,Aberdeen,Scotland,False
127,1900-02-24,Wales,Northern Ireland,2,0,British Championship,Llandudno,Wales,False
128,1900-03-03,Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,False
129,1900-03-17,Northern Ireland,England,0,2,British Championship,Dublin,Republic of Ireland,False
130,1900-03-26,Wales,England,1,1,British Championship,Cardiff,Wales,False
131,1900-04-07,Scotland,England,4,1,British Championship,Glasgow,Scotland,False
132,1901-02-23,Scotland,Northern Ireland,11,0,British Championship,Glasgow,Scotland,False
133,1901-03-02,Wales,Scotland,1,1,British Championship,Wrexham,Wales,False
134,1901-03-09,England,Northern Ireland,3,0,British Championship,Southampton,England,False
135,1901-03-18,England,Wales,6,0,British Championship,Newcastle,England,False
136,1901-03-23,Northern Ireland,Wales,0,1,British Championship,Belfast,Republic of Ireland,False
137,1901-03-30,England,Scotland,2,2,British Championship,London,England,False
138,1902-02-22,Wales,Northern Ireland,0,3,British Championship,Cardiff,Wales,False
139,1902-03-01,Northern Ireland,Scotland,1,5,British Championship,Belfast,Republic of Ireland,False
140,1902-03-03,Wales,England,0,0,British Championship,Wrexham,Wales,False
141,1902-03-15,Scotland,Wales,5,1,British Championship,Greenock,Scotland,False
142,1902-03-22,Northern Ireland,England,0,1,British Championship,Belfast,Republic of Ireland,False
143,1902-05-03,England,Scotland,2,2,British Championship,Birmingham,England,False
146,1903-03-02,England,Wales,2,1,British Championship,Portsmouth,England,False
147,1903-03-09,Wales,Scotland,0,1,British Championship,Cardiff,Wales,False
148,1903-03-21,Scotland,Northern Ireland,0,2,British Championship,Glasgow,Scotland,False
149,1903-03-28,Northern Ireland,Wales,2,0,British Championship,Belfast,Republic of Ireland,False
150,1903-04-04,England,Scotland,1,2,British Championship,Sheffield,England,False
154,1904-02-29,Wales,England,2,2,British Championship,Wrexham,Wales,False
155,1904-03-12,Northern Ireland,England,1,3,British Championship,Belfast,Republic of Ireland,False
156,1904-03-12,Scotland,Wales,1,1,British Championship,Dundee,Scotland,False
157,1904-03-21,Wales,Northern Ireland,0,1,British Championship,Bangor,Wales,False
158,1904-03-26,Northern Ireland,Scotland,1,1,British Championship,Dublin,Republic of Ireland,False
159,1904-04-09,Scotland,England,0,1,British Championship,Glasgow,Scotland,False
163,1905-02-25,England,Northern Ireland,1,1,British Championship,Middlesbrough,England,False
164,1905-03-06,Wales,Scotland,3,1,British Championship,Wrexham,Wales,False
165,1905-03-18,Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland,False
166,1905-03-27,England,Wales,3,1,British Championship,Liverpool,England,False
167,1905-04-01,England,Scotland,1,0,British Championship,London,England,False
168,1905-04-08,Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,False
173,1905-08-15,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False
174,1906-02-17,Northern Ireland,England,0,5,British Championship,Belfast,Republic of Ireland,False
175,1906-03-03,Scotland,Wales,0,2,British Championship,Edinburgh,Scotland,False
176,1906-03-17,Northern Ireland,Scotland,0,1,British Championship,Dublin,Republic of Ireland,False
177,1906-03-19,Wales,England,0,1,British Championship,Cardiff,Wales,False
179,1906-04-02,Wales,Northern Ireland,4,4,British Championship,Wrexham,Wales,False
180,1906-04-07,Scotland,England,2,1,British Championship,Glasgow,Scotland,False
184,1906-08-15,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,False
186,1906-10-21,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False
188,1907-02-16,England,Northern Ireland,1,0,British Championship,Liverpool,England,False
189,1907-02-23,Northern Ireland,Wales,2,3,British Championship,Belfast,Republic of Ireland,False
190,1907-03-04,Wales,Scotland,1,0,British Championship,Wrexham,Wales,False
191,1907-03-16,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,False
192,1907-03-18,England,Wales,1,1,British Championship,London,England,False
193,1907-04-06,England,Scotland,1,1,British Championship,Newcastle,England,False
201,1908-02-15,Northern Ireland,England,1,3,British Championship,Belfast,Republic of Ireland,False
202,1908-03-07,Scotland,Wales,2,1,British Championship,Dundee,Scotland,False
204,1908-03-14,Northern Ireland,Scotland,0,5,British Championship,Dublin,Republic of Ireland,False
205,1908-03-16,Wales,England,1,7,British Championship,Wrexham,Wales,False
207,1908-04-04,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
210,1908-04-11,Wales,Northern Ireland,0,1,British Championship,Aberdare,Wales,False
221,1908-08-15,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,False
222,1908-09-13,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False
223,1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
227,1909-02-13,England,Northern Ireland,4,0,British Championship,Bradford,England,False
228,1909-03-01,Wales,Scotland,3,2,British Championship,Wrexham,Wales,False
229,1909-03-15,England,Wales,2,0,British Championship,Nottingham,England,False
230,1909-03-15,Scotland,Northern Ireland,5,0,British Championship,Glasgow,Scotland,False
231,1909-03-20,Northern Ireland,Wales,2,3,British Championship,Belfast,Republic of Ireland,False
233,1909-04-03,England,Scotland,2,0,British Championship,London,England,False
243,1909-08-15,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,False
244,1909-09-19,Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay,False
245,1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
246,1910-02-12,Northern Ireland,England,1,1,British Championship,Belfast,Republic of Ireland,False
247,1910-03-05,Scotland,Wales,1,0,British Championship,Kilmarnock,Scotland,False
249,1910-03-14,Wales,England,0,1,British Championship,Cardiff,Wales,False
250,1910-03-19,Northern Ireland,Scotland,1,0,British Championship,Belfast,Republic of Ireland,False
251,1910-04-02,Scotland,England,2,0,British Championship,Glasgow,Scotland,False
255,1910-04-11,Wales,Northern Ireland,4,1,British Championship,Wrexham,Wales,False
265,1910-08-15,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,False
270,1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
271,1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
275,1911-01-28,Northern Ireland,Wales,1,2,British Championship,Belfast,Republic of Ireland,False
276,1911-02-11,England,Northern Ireland,2,1,British Championship,Derby,England,False
277,1911-03-06,Wales,Scotland,2,2,British Championship,Cardiff,Wales,False
278,1911-03-13,England,Wales,3,0,British Championship,London,England,False
279,1911-03-18,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,False
282,1911-04-01,England,Scotland,1,1,British Championship,Liverpool,England,False
292,1911-08-15,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,False
294,1911-09-17,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,False
295,1911-10-08,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
297,1911-10-22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
302,1911-10-29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
306,1912-02-10,Northern Ireland,England,1,6,British Championship,Dublin,Republic of Ireland,False
310,1912-03-02,Scotland,Wales,1,0,British Championship,Edinburgh,Scotland,False
312,1912-03-11,Wales,England,0,2,British Championship,Wrexham,Wales,False
313,1912-03-16,Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,False
315,1912-03-23,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
317,1912-04-13,Wales,Northern Ireland,2,3,British Championship,Cardiff,Wales,False
329,1912-08-15,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False
330,1912-08-25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
331,1912-09-22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
332,1912-10-06,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,False
341,1913-01-18,Northern Ireland,Wales,0,1,British Championship,Belfast,Republic of Ireland,False
342,1913-02-15,Northern Ireland,England,2,1,British Championship,Belfast,Republic of Ireland,False
344,1913-03-03,Wales,Scotland,0,0,British Championship,Wrexham,Wales,False
347,1913-03-15,Northern Ireland,Scotland,1,2,British Championship,Dublin,Republic of Ireland,False
348,1913-03-17,England,Wales,4,3,British Championship,Bristol,England,False
349,1913-04-05,England,Scotland,1,0,British Championship,London,England,False
363,1913-08-15,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina,False
364,1913-08-31,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
368,1913-10-05,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
372,1913-10-26,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,False
376,1914-01-19,Wales,Northern Ireland,1,2,British Championship,Wrexham,Wales,False
379,1914-02-14,England,Northern Ireland,0,3,British Championship,Middlesbrough,England,False
380,1914-02-28,Scotland,Wales,0,0,British Championship,Glasgow,Scotland,False
382,1914-03-14,Northern Ireland,Scotland,1,1,British Championship,Belfast,Republic of Ireland,False
384,1914-03-16,Wales,England,0,2,British Championship,Cardiff,Wales,False
398,1914-08-30,Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
399,1914-09-13,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
401,1914-09-27,Argentina,Brazil,0,1,Copa Roca,Buenos Aires,Argentina,False
413,1915-07-18,Uruguay,Argentina,2,3,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
414,1915-08-15,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,False
415,1915-09-12,Uruguay,Argentina,2,0,Copa Newton,Montevideo,Uruguay,False
428,1916-07-02,Chile,Uruguay,0,4,Copa América,Buenos Aires,Argentina,True
430,1916-07-06,Argentina,Chile,6,1,Copa América,Buenos Aires,Argentina,False
431,1916-07-08,Brazil,Chile,1,1,Copa América,Buenos Aires,Argentina,True
432,1916-07-10,Argentina,Brazil,1,1,Copa América,Buenos Aires,Argentina,False
434,1916-07-12,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,True
436,1916-07-17,Argentina,Uruguay,0,0,Copa América,Avellaneda,Argentina,False
438,1916-08-15,Argentina,Uruguay,3,1,Copa Newton,Avellaneda,Argentina,False
439,1916-08-15,Uruguay,Argentina,1,2,Copa Lipton,Montevideo,Uruguay,False
445,1916-10-01,Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
456,1917-07-18,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
457,1917-08-15,Argentina,Uruguay,1,0,Copa Lipton,Avellaneda,Argentina,False
459,1917-09-02,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,False
461,1917-09-30,Uruguay,Chile,4,0,Copa América,Montevideo,Uruguay,False
462,1917-10-03,Argentina,Brazil,4,2,Copa América,Montevideo,Uruguay,True
463,1917-10-06,Argentina,Chile,1,0,Copa América,Montevideo,Uruguay,True
466,1917-10-07,Uruguay,Brazil,4,0,Copa América,Montevideo,Uruguay,False
467,1917-10-12,Brazil,Chile,5,0,Copa América,Montevideo,Uruguay,True
469,1917-10-14,Uruguay,Argentina,1,0,Copa América,Montevideo,Uruguay,False
481,1918-07-18,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
482,1918-07-28,Uruguay,Argentina,3,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
483,1918-08-15,Argentina,Uruguay,0,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
484,1918-08-25,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
486,1918-09-20,Uruguay,Argentina,1,1,Copa Lipton,Montevideo,Uruguay,False
487,1918-09-29,Argentina,Uruguay,2,0,Copa Newton,Buenos Aires,Argentina,False
493,1919-05-11,Brazil,Chile,6,0,Copa América,Rio de Janeiro,Brazil,False
495,1919-05-13,Argentina,Uruguay,2,3,Copa América,Rio de Janeiro,Brazil,True
497,1919-05-17,Chile,Uruguay,0,2,Copa América,Rio de Janeiro,Brazil,True
498,1919-05-18,Brazil,Argentina,3,1,Copa América,Rio de Janeiro,Brazil,False
500,1919-05-22,Argentina,Chile,4,1,Copa América,Rio de Janeiro,Brazil,True
502,1919-05-26,Brazil,Uruguay,2,2,Copa América,Rio de Janeiro,Brazil,False
503,1919-05-29,Brazil,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,False
510,1919-07-18,Uruguay,Argentina,4,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
512,1919-08-24,Uruguay,Argentina,2,1,Copa Newton,Montevideo,Uruguay,False
514,1919-09-07,Argentina,Uruguay,1,2,Copa Lipton,Buenos Aires,Argentina,False
520,1919-10-19,Argentina,Uruguay,6,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
521,1919-10-25,Northern Ireland,England,1,1,British Championship,Belfast,Republic of Ireland,False
525,1920-02-14,Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,False
526,1920-02-26,Wales,Scotland,1,1,British Championship,Cardiff,Wales,False
528,1920-03-13,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,False
529,1920-03-15,England,Wales,1,2,British Championship,London,England,False
533,1920-04-10,England,Scotland,5,4,British Championship,Sheffield,England,False
542,1920-07-18,Uruguay,Argentina,2,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
543,1920-07-25,Argentina,Uruguay,1,3,Copa Newton,Buenos Aires,Argentina,False
544,1920-08-08,Argentina,Uruguay,1,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
545,1920-09-11,Chile,Brazil,0,1,Copa América,Viña del Mar,Chile,False
546,1920-09-12,Uruguay,Argentina,1,1,Copa América,Viña del Mar,Chile,True
547,1920-09-18,Brazil,Uruguay,0,6,Copa América,Viña del Mar,Chile,True
549,1920-09-20,Chile,Argentina,1,1,Copa América,Viña del Mar,Chile,False
550,1920-09-25,Argentina,Brazil,2,0,Copa América,Viña del Mar,Chile,True
553,1920-10-03,Chile,Uruguay,1,2,Copa América,Viña del Mar,Chile,False
556,1920-10-23,England,Northern Ireland,2,0,British Championship,Sunderland,England,False
559,1921-02-12,Scotland,Wales,2,1,British Championship,Aberdeen,Scotland,False
561,1921-02-26,Northern Ireland,Scotland,0,2,British Championship,Belfast,Republic of Ireland,False
564,1921-03-14,Wales,England,0,0,British Championship,Cardiff,Wales,False
569,1921-04-09,Scotland,England,3,0,British Championship,Glasgow,Scotland,False
570,1921-04-09,Wales,Northern Ireland,2,1,British Championship,Swansea,Wales,False
595,1921-10-02,Argentina,Brazil,1,0,Copa América,Buenos Aires,Argentina,False
598,1921-10-09,Paraguay,Uruguay,2,1,Copa América,Buenos Aires,Argentina,True
600,1921-10-12,Brazil,Paraguay,3,0,Copa América,Buenos Aires,Argentina,True
601,1921-10-16,Argentina,Paraguay,3,0,Copa América,Buenos Aires,Argentina,False
602,1921-10-22,Northern Ireland,England,1,1,British Championship,Belfast,Republic of Ireland,False
603,1921-10-23,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,True
605,1921-10-30,Argentina,Uruguay,1,0,Copa América,Buenos Aires,Argentina,False
615,1922-02-04,Wales,Scotland,2,1,British Championship,Wrexham,Wales,False
617,1922-03-04,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,False
619,1922-03-13,England,Wales,1,0,British Championship,Liverpool,England,False
622,1922-04-08,England,Scotland,0,1,British Championship,Birmingham,England,False
652,1922-09-17,Brazil,Chile,1,1,Copa América,Rio de Janeiro,Brazil,False
653,1922-09-23,Chile,Uruguay,0,2,Copa América,Rio de Janeiro,Brazil,True
655,1922-09-24,Brazil,Paraguay,1,1,Copa América,Rio de Janeiro,Brazil,False
658,1922-09-28,Argentina,Chile,4,0,Copa América,Rio de Janeiro,Brazil,True
659,1922-10-01,Brazil,Uruguay,0,0,Copa América,Rio de Janeiro,Brazil,False
662,1922-10-05,Chile,Paraguay,0,3,Copa América,Rio de Janeiro,Brazil,True
663,1922-10-08,Argentina,Uruguay,0,1,Copa América,Rio de Janeiro,Brazil,True
664,1922-10-12,Paraguay,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,True
665,1922-10-15,Brazil,Argentina,2,0,Copa América,Rio de Janeiro,Brazil,False
666,1922-10-18,Argentina,Paraguay,2,0,Copa América,Rio de Janeiro,Brazil,True
667,1922-10-21,England,Northern Ireland,2,0,British Championship,West Bromwich,England,False
669,1922-10-22,Brazil,Paraguay,3,0,Copa América,Rio de Janeiro,Brazil,False
670,1922-10-22,Brazil,Argentina,2,1,Copa Roca,São Paulo,Brazil,False
672,1922-11-12,Uruguay,Argentina,1,0,Copa Lipton,Montevideo,Uruguay,False
677,1922-12-10,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
678,1922-12-17,Argentina,Uruguay,2,2,Copa Newton,Buenos Aires,Argentina,False
691,1923-03-03,Northern Ireland,Scotland,0,1,British Championship,Belfast,Northern Ireland,False
693,1923-03-05,Wales,England,2,2,British Championship,Cardiff,Wales,False
695,1923-03-17,Scotland,Wales,2,0,British Championship,Paisley,Scotland,False
698,1923-04-14,Scotland,England,2,2,British Championship,Glasgow,Scotland,False
699,1923-04-14,Wales,Northern Ireland,0,3,British Championship,Wrexham,Wales,False
707,1923-05-20,Argentina,Paraguay,0,2,Copa Chevallier Boutell,Buenos Aires,Argentina,False
712,1923-05-25,Argentina,Paraguay,1,0,Copa Chevallier Boutell,Buenos Aires,Argentina,False
724,1923-06-24,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False
730,1923-07-22,Uruguay,Argentina,2,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
743,1923-09-30,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
745,1923-10-20,Northern Ireland,England,2,1,British Championship,Belfast,Northern Ireland,False
750,1923-10-29,Argentina,Paraguay,4,3,Copa América,Montevideo,Uruguay,True
755,1923-11-04,Uruguay,Paraguay,2,0,Copa América,Montevideo,Uruguay,False
756,1923-11-11,Brazil,Paraguay,0,1,Copa América,Montevideo,Uruguay,True
757,1923-11-18,Argentina,Brazil,2,1,Copa América,Montevideo,Uruguay,True
760,1923-11-25,Uruguay,Brazil,2,1,Copa América,Montevideo,Uruguay,False
763,1923-12-02,Uruguay,Argentina,2,0,Copa América,Montevideo,Uruguay,False
765,1923-12-09,Argentina,Brazil,2,0,Copa Roca,Buenos Aires,Argentina,False
774,1924-02-16,Wales,Scotland,2,0,British Championship,Cardiff,Wales,False
775,1924-03-01,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,False
776,1924-03-03,England,Wales,1,2,British Championship,Blackburn,England,False
779,1924-03-15,Northern Ireland,Wales,0,1,British Championship,Belfast,Northern Ireland,False
785,1924-04-12,England,Scotland,1,1,British Championship,London,England,False
790,1924-05-15,Paraguay,Argentina,1,3,Copa Chevallier Boutell,Asunción,Paraguay,False
792,1924-05-18,Paraguay,Argentina,2,1,Copa Chevallier Boutell,Asunción,Paraguay,False
797,1924-05-25,Argentina,Uruguay,4,0,Copa Newton,Buenos Aires,Argentina,False
798,1924-05-25,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False
804,1924-06-15,Denmark,Sweden,2,3,Nordic Championship,Copenhagen,Denmark,False
828,1924-09-14,Norway,Denmark,1,3,Nordic Championship,Kristiania,Norway,False
830,1924-09-21,Sweden,Norway,6,1,Nordic Championship,Solna,Sweden,False
836,1924-10-12,Argentina,Paraguay,0,0,Copa América,Montevideo,Uruguay,True
838,1924-10-19,Uruguay,Chile,5,0,Copa América,Montevideo,Uruguay,False
839,1924-10-22,England,Northern Ireland,3,1,British Championship,Liverpool,England,False
